component_id,component_size,component_crosses_split,threshold,exact_hash_duplicate,image_id,split,site_id,site_profile,risk_stratum,image_hash,image_path
PHASH_000001,69,True,4,False,ISIC_0010256,train,SYN_BCN_like,BCN_like,very_low,669999666699d163,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0010256.jpg
PHASH_000001,69,True,4,False,ISIC_0010317,train,SYN_BCN_like,BCN_like,very_low,e6ba996666989863,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0010317.jpg
PHASH_000001,69,True,4,False,ISIC_0010593,train,SYN_MSK_like,MSK_like,very_low,669999666e98dc61,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0010593.jpg
PHASH_000001,69,True,4,False,ISIC_0010852,val,SYN_BCN_like,BCN_like,high,2699996666999b63,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0010852.jpg
PHASH_000001,69,True,4,False,ISIC_0012413_downsampled,test,SYN_RURAL_like,RURAL_like,very_low,6699bb6666991067,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0012413_downsampled.jpg
PHASH_000001,69,True,4,False,ISIC_0013032_downsampled,train,SYN_MSK_like,MSK_like,very_low,669b9b6666991165,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0013032_downsampled.jpg
PHASH_000001,69,True,4,False,ISIC_0014093_downsampled,train,SYN_HAM_like,HAM_like,very_low,66d9996666999165,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0014093_downsampled.jpg
PHASH_000001,69,True,4,False,ISIC_0024541,train,SYN_HAM_like,HAM_like,very_low,c63399cc66999965,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0024541.jpg
PHASH_000001,69,True,4,False,ISIC_0024594,train,SYN_RURAL_like,RURAL_like,very_low,e699996626999267,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0024594.jpg
PHASH_000001,69,True,4,False,ISIC_0024704,train,SYN_MSK_like,MSK_like,very_low,66d999666698d961,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0024704.jpg
PHASH_000001,69,True,4,False,ISIC_0024876,train,SYN_RURAL_like,RURAL_like,very_low,66da9966669a9961,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0024876.jpg
PHASH_000001,69,True,4,False,ISIC_0024933,train,SYN_BCN_like,BCN_like,very_low,66db99662699d921,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0024933.jpg
PHASH_000001,69,True,4,False,ISIC_0025000,train,SYN_BCN_like,BCN_like,very_low,669ad9666698d923,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0025000.jpg
PHASH_000001,69,True,4,False,ISIC_0025456,train,SYN_HAM_like,HAM_like,very_low,3631996666999967,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0025456.jpg
PHASH_000001,69,True,4,False,ISIC_0025476,train,SYN_RURAL_like,RURAL_like,very_low,6699f96626d89923,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0025476.jpg
